team,savePct
Winnipeg Jets,0.922
Tampa Bay Lightning,0.913
Toronto Maple Leafs,0.912
Dallas Stars,0.911
Los Angeles Kings,0.908
Minnesota Wild,0.908
Ottawa Senators,0.907
Anaheim Ducks,0.906
Calgary Flames,0.905
New Jersey Devils,0.905
Florida Panthers,0.905
Vegas Golden Knights,0.903
New York Rangers,0.902
St. Louis Blues,0.902
New York Islanders,0.9
Colorado Avalanche,0.9
Washington Capitals,0.9
Utah Hockey Club,0.898
Edmonton Oilers,0.897
Detroit Red Wings,0.896
Montreal Canadiens,0.896
Columbus Blue Jackets,0.896
Seattle Kraken,0.896
Chicago Blackhawks,0.894
Vancouver Canucks,0.894
Carolina Hurricanes,0.893
Boston Bruins,0.892
Nashville Predators,0.892
Pittsburgh Penguins,0.891
Buffalo Sabres,0.888
San Jose Sharks,0.887
Philadelphia Flyers,0.879
