date,home_team,away_team,opponent,home,back_to_back,rest_days,rest_diff,Location,Result,Match Number,Round Number,elo_for,elo_against
2025-01-11 23:00:00,Philadelphia Flyers,Toronto Maple Leafs,Philadelphia Flyers,0,0,2,0,Xfinity Mobile Arena,,188,4,,
2025-03-12 00:00:00,Florida Panthers,Toronto Maple Leafs,Florida Panthers,0,0,59,0,Amerant Bank Arena,,413,8,,
2025-04-11 00:30:00,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,0,0,30,0,Scotiabank Arena,,199,4,,
2025-05-12 00:00:00,Carolina Hurricanes,Toronto Maple Leafs,Carolina Hurricanes,0,0,30,0,Lenovo Center,,431,9,,
2025-06-11 00:00:00,Toronto Maple Leafs,Utah Hockey Club,Toronto Maple Leafs,0,0,30,0,Scotiabank Arena,,213,5,,
2025-07-12 00:00:00,Toronto Maple Leafs,Montréal Canadiens,Toronto Maple Leafs,0,0,31,0,Scotiabank Arena,,444,9,,
2025-08-10 23:00:00,Toronto Maple Leafs,Montréal Canadiens,Toronto Maple Leafs,0,0,29,0,Scotiabank Arena,,4,1,,
2025-09-11 00:00:00,Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,0,0,31,0,Scotiabank Arena,,234,5,,
2025-09-12 00:30:00,Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,0,1,1,0,Scotiabank Arena,,461,9,,
2025-10-11 00:00:00,Toronto Maple Leafs,Carolina Hurricanes,Toronto Maple Leafs,0,0,28,0,Scotiabank Arena,,246,5,,
2025-11-10 23:00:00,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,0,0,30,0,Little Caesars Arena,,25,1,,
2025-12-11 00:00:00,Boston Bruins,Toronto Maple Leafs,Boston Bruins,0,0,30,0,TD Garden,,256,5,,
2025-12-12 00:00:00,Toronto Maple Leafs,San Jose Sharks,Toronto Maple Leafs,0,1,1,0,Scotiabank Arena,,480,10,,
2026-01-02 00:00:00,Vancouver Canucks,Toronto Maple Leafs,Vancouver Canucks,0,0,21,0,Rogers Arena,,869,17,,
2026-01-03 00:00:00,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,0,1,1,0,Scotiabank Arena,,939,18,,
2026-02-01 00:00:00,Toronto Maple Leafs,Winnipeg Jets,Toronto Maple Leafs,0,0,29,0,Scotiabank Arena,,634,12,,
2026-03-02 03:00:00,Calgary Flames,Toronto Maple Leafs,Calgary Flames,0,0,29,0,Scotiabank Saddledome,,885,17,,
2026-03-03 00:30:00,Toronto Maple Leafs,Philadelphia Flyers,Toronto Maple Leafs,0,0,0,0,Scotiabank Arena,,954,18,,
2026-03-04 02:00:00,San Jose Sharks,Toronto Maple Leafs,San Jose Sharks,0,1,1,0,SAP Center at San Jose,,1202,23,,
2026-04-01 00:00:00,New York Islanders,Toronto Maple Leafs,New York Islanders,0,0,27,0,UBS Arena,,651,13,,
2026-04-02 01:30:00,Edmonton Oilers,Toronto Maple Leafs,Edmonton Oilers,0,1,1,0,Rogers Place,,891,17,,
2026-04-04 23:00:00,Los Angeles Kings,Toronto Maple Leafs,Los Angeles Kings,0,0,2,0,Crypto.com Arena,,1217,23,,
2026-05-03 00:00:00,New Jersey Devils,Toronto Maple Leafs,New Jersey Devils,0,0,28,0,Prudential Center,,971,18,,
2026-06-03 00:00:00,New York Rangers,Toronto Maple Leafs,New York Rangers,0,0,31,0,Madison Square Garden,,975,19,,
2026-07-01 00:30:00,Toronto Maple Leafs,Florida Panthers,Toronto Maple Leafs,0,0,28,0,Scotiabank Arena,,672,13,,
2026-08-03 00:00:00,Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,0,0,32,0,Scotiabank Arena,,994,19,,
2026-08-04 23:30:00,Toronto Maple Leafs,Washington Capitals,Toronto Maple Leafs,0,1,1,0,Scotiabank Arena,,1245,23,,
2026-09-01 00:00:00,Philadelphia Flyers,Toronto Maple Leafs,Philadelphia Flyers,0,0,27,0,Xfinity Mobile Arena,,686,13,,
2026-09-04 23:00:00,New York Islanders,Toronto Maple Leafs,New York Islanders,0,0,3,0,UBS Arena,,1252,24,,
2026-10-03 23:00:00,Montréal Canadiens,Toronto Maple Leafs,Montréal Canadiens,0,0,29,0,Centre Bell,,1014,19,,
2026-11-01 00:00:00,Toronto Maple Leafs,Vancouver Canucks,Toronto Maple Leafs,0,0,28,0,Scotiabank Arena,,702,14,,
2026-11-04 23:00:00,Toronto Maple Leafs,Florida Panthers,Toronto Maple Leafs,0,0,3,0,Scotiabank Arena,,1270,24,,
2026-12-03 23:00:00,Toronto Maple Leafs,Anaheim Ducks,Toronto Maple Leafs,0,0,29,0,Scotiabank Arena,,1029,20,,
,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,43,1,,
,Toronto Maple Leafs,Nashville Predators,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,49,1,,
,Toronto Maple Leafs,New York Rangers,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,61,2,,
,Toronto Maple Leafs,Seattle Kraken,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,79,2,,
,Toronto Maple Leafs,New Jersey Devils,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,98,2,,
,Buffalo Sabres,Toronto Maple Leafs,Buffalo Sabres,0,0,2,0,KeyBank Center,,123,3,,
,Toronto Maple Leafs,Buffalo Sabres,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,132,3,,
,Toronto Maple Leafs,Calgary Flames,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,151,3,,
,Columbus Blue Jackets,Toronto Maple Leafs,Columbus Blue Jackets,0,0,2,0,Nationwide Arena,,166,4,,
,Toronto Maple Leafs,Los Angeles Kings,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,269,6,,
,Chicago Blackhawks,Toronto Maple Leafs,Chicago Blackhawks,0,0,2,0,United Center,,291,6,,
,Toronto Maple Leafs,St. Louis Blues,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,307,6,,
,Toronto Maple Leafs,Columbus Blue Jackets,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,319,7,,
,Montréal Canadiens,Toronto Maple Leafs,Montréal Canadiens,0,0,2,0,Centre Bell,,337,7,,
,Columbus Blue Jackets,Toronto Maple Leafs,Columbus Blue Jackets,0,0,2,0,Nationwide Arena,,369,8,,
,Washington Capitals,Toronto Maple Leafs,Washington Capitals,0,0,2,0,Capital One Arena,,386,8,,
,Pittsburgh Penguins,Toronto Maple Leafs,Pittsburgh Penguins,0,0,2,0,PPG Paints Arena,,396,8,,
,Toronto Maple Leafs,Edmonton Oilers,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,499,10,,
,Toronto Maple Leafs,Chicago Blackhawks,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,520,10,,
,Washington Capitals,Toronto Maple Leafs,Washington Capitals,0,0,2,0,Capital One Arena,,539,11,,
,Nashville Predators,Toronto Maple Leafs,Nashville Predators,0,0,2,0,Bridgestone Arena,,558,11,,
,Dallas Stars,Toronto Maple Leafs,Dallas Stars,0,0,2,0,American Airlines Center,,568,11,,
,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,575,11,,
,Toronto Maple Leafs,Ottawa Senators,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,590,12,,
,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,0,0,2,0,Little Caesars Arena,,601,12,,
,Toronto Maple Leafs,New Jersey Devils,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,617,12,,
,Colorado Avalanche,Toronto Maple Leafs,Colorado Avalanche,0,0,2,0,Ball Arena,,723,14,,
,Utah Hockey Club,Toronto Maple Leafs,Utah Hockey Club,0,0,2,0,Delta Center,,733,14,,
,Vegas Golden Knights,Toronto Maple Leafs,Vegas Golden Knights,0,0,2,0,T-Mobile Arena,,748,14,,
,Winnipeg Jets,Toronto Maple Leafs,Winnipeg Jets,0,0,2,0,Canada Life Centre,,762,15,,
,Toronto Maple Leafs,Minnesota Wild,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,774,15,,
,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,788,15,,
,Toronto Maple Leafs,Vegas Golden Knights,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,802,16,,
,Toronto Maple Leafs,Colorado Avalanche,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,819,16,,
,Toronto Maple Leafs,Buffalo Sabres,Toronto Maple Leafs,0,0,2,0,Scotiabank Arena,,831,16,,
,Seattle Kraken,Toronto Maple Leafs,Seattle Kraken,0,0,2,0,Climate Pledge Arena,,857,16,,
,Tampa Bay Lightning,Toronto Maple Leafs,Tampa Bay Lightning,0,0,2,0,Amalie Arena,,912,18,,
,Florida Panthers,Toronto Maple Leafs,Florida Panthers,0,0,2,0,Amerant Bank Arena,,921,18,,
,Buffalo Sabres,Toronto Maple Leafs,Buffalo Sabres,0,0,2,0,KeyBank Center,,1047,20,,
,Minnesota Wild,Toronto Maple Leafs,Minnesota Wild,0,0,2,0,Grand Casino Arena,,1060,20,,
